!sil	▁ J
already	▁aG ju
already	▁dx G lj u
alright	▁dx G gL
alrighty	▁dx G gL u
als-	▁dx H
alsatian	▁b x H pItA
also	▁dx HD
alt	▁dx L
alt-	▁dx L
alta	▁dx L f
altar	▁dx L o
alter	▁dx L o
alter-	▁dx L o
alterations	▁dx L fG pItA S
altercations	▁dx L o wp ItA S
altered	▁dx L oj
altering	▁dx L fG tB
alternate	▁dx L oA pL
alternated	▁dx L oA pL tj
alternately	▁dx L oA tL xu
alternates	▁dx L oA pL H
alternating	▁dx L oA pL tB
alternative	▁dx L oA tL tP
alternatively	▁dx L oA tL tP xu
alternatives	▁dx L oA tL tP S
alternator	▁dx L oA pL o
alters	▁dx L oS
although	▁dx k D
altitude	▁b x L tL Oj
altitudes	▁b x L tL Oj S
alto	▁b x L D
altog-	▁dx L f r
altogether	▁dx L f r l ko
alton	▁dx L n
altoona	▁b x L O A f
altruistic	▁b x L G O tHL tw
altrusa	▁b x L G O H f
alum	▁b xfz
alum-	▁f x O z
alumi-	▁f x O z t
aluminium	▁b xfz tA u fz
aluminum	▁f x O z tA fz
alumnae	▁f x cz A p
alumni	▁f x cz A g
alums	▁f x cz S
alvarez	▁b x P fG l S
alvin	▁b x P tA
alw-	▁dx Q
alway-	▁dx Qp
always	▁dxQpS
alzh-	▁dx H s
alzheimer	▁dx H s gz o
alzheimer's	▁dx H s gz oS
alzheimers	▁dx H s gz oS
am	▁b z
am	▁z
am-	▁ a z
am-	▁b z
am-	▁f z
ama-	▁f z p
amaco	▁b z f w D
amanda	▁f z bAj f
amaretta	▁b z fG lL f
amarillo	▁b z fG tx D
amaryllis	▁b z fG tx tH
amateur	▁b z f i NG
amateurs	▁b z f i NG S
amaz-	▁f z pS
amaze	▁f z pS
amaze-	▁f z pS t
amazed	▁f z pS j
amazes	▁f z pS tS
amazing	▁f z pS tB
amazingly	▁f z pS tB xu
ambassador	▁b z h bH tj o
ambience	▁ a z hu aA H
ambition	▁b z h t ItA
ambitions	▁b z h t ItA S
ambitious	▁b z h tI tH
ambivalent	▁b z h tP fx tAL
ambulance	▁b z h R fx tAH
ambulatory	▁b z h R fx fL DG u
amdahl	▁ a z j a x
ame-	▁f z l
amelia	▁f z u xu f
amen-	▁f z lA
amended	▁f z lAj tj
amendment	▁f z lAj ztAL
amendments	▁f z lAj ztAL H
amenities	▁f z lA tL uS
amer-	▁f z lG
ameri-	▁f z lG t
america	▁f z lG tw f
america's	▁f z lG tw f S
american	▁f z lG tw fA
american-	▁f z lG tw fA
americanism	▁f z lG tw fA tS fz
americanized	▁f z lG tw fA gS j
americans	▁f z lG tw fA S
americard	▁f z lG tw aGj
amguard	▁b z r aGj
amherst	▁b z o HL
amiga	▁f z u r f
amiga's	▁f z u r f S
amigas	▁f z u r f S
amin	▁b z uA
amish	▁ a z tI
amiss	▁f z tH
amm-	▁b z
ammn-t-	▁b z R f tI
ammon	▁b z fA
ammonia	▁f z D A R f
ammunition	▁b z R fA t ItA
amnesia	▁b z A u T f
amnesty	▁b z A lHL u
amnesty	▁b z A tHL u
amoeba	▁f z u h f
amok	▁f z a w
among	▁f z c B
amongst	▁f z c B HL
amoral	▁f z DG fx
amorphous	▁f z DG q fH
amory's	▁b z DG uS
amou-	▁f z e
amount	▁f z e AL
amounted	▁f z e AL tj
amounts	▁f z e AL H
amp	▁b zF
amperage	▁b zF fG tv
amphetamines	▁b z q lL fz g A S
ample	▁b zF fx
amplifier	▁b zF x tq gG
amplifiers	▁b zF x tq gG S
amputated	▁b zF R fL pL tj
amrein's	▁b z G pA S
amsterdam	▁b z HL oj b z
amtrak	▁b z L G b w
amuse	▁f z RO S
amused	▁f z RO S j
amusement	▁f z RO S ztAL
amusing	▁f z RO S tB
amway	▁b z Qp
amy	▁p z u
an	▁bA
an-	▁bA
an-	▁fA
an-	▁lA
ana	▁aA f
ana-	▁bA f
ana-	▁fA b
anachro	▁bA f w G D
anaerobic	▁bA fG D h tw
anagram	▁bA f r G b z
anaheim	▁bA f s gz
analog	▁bA fx d r
analogy	▁fA bx f v u
analyses	▁fA bx tH uS
analysis	▁fA bx tH tH
analyst	▁bA fx tHL
analysts	▁bA fx tHL H
analytical	▁bA fx tL twfx
analyze	▁bA fx gS
analyzers	▁bA fx gS oS
analyzing	▁bA fx gS tB
anani-	▁fA bA t
ananimous	▁fA bA tz fH
anarchy	▁bA aG w u
anatomy	▁fA bL fz u
ancestor	▁bA H lHL o
ancestors	▁bA H lHL oS
ancestral	▁bA H lHL G fx
anchor	▁b B w o
anchoring	▁b B w fG tB
anchors	▁b B w oS
anchovies	▁bA i D P uS
ancient	▁p A i tAL
ancients	▁p A i tAL H
ancle	▁b B w fx
and	▁bAj
andean	▁bAj u tA
anderson	▁bAj oH fA
andover	▁bAj D Po
andre	▁ a Aj G p
andrew	▁bAj G O
andrews	▁bAj G O S
ands	▁bAj S
anduille	▁bAj O u
andy	▁bAj u
anecdotal	▁bA tw j DL fx
anecdote	▁bA tw j DL
anecdotes	▁bA tw j DL H
aneurism	▁bA R fG tS fz
aneurisms	▁bA R fG tS fz S
angel	▁p A v fx
angela	▁bA v fx f
angeles	▁bA v fx fH
angelo	▁bA v fx D
angels	▁p A v fx S
anger	▁b B r o
angering	▁b B r fG tB
angie	▁bA v u
angle	▁b B r fx
angled	▁b B r fx j
anglers	▁b B r x oS
angles	▁b B r fx S
anglo	▁b B r x D
anglos	▁b B r x DS
angolan	▁b B r D x aA
angora	▁b B r DG f
angry	▁b B r Gu
anguish	▁b B r Q tI
anguished	▁b B r Q tI L
anguishing	▁b B r Q tI tB
anheimer	▁bA s gz o
ani-	▁bA t
animal	▁bA tz fx
animal's	▁bA tz fx S
animals	▁bA tz fx S
animated	▁bA tz pL tj
animation	▁bA tz pItA
animator	▁bA tz pL o
animosities	▁bA tz a H tL uS
animosity	▁bA tz a H tLu
anita	▁fA u L f
ankle	▁b B w fx
ankles	▁b B w fx S
anklet	▁b B w x tL
anklets	▁b B w x tLH
ann	▁bA
anna	▁bA f
annapolis	▁fA b F fx tH
anne	▁bA
annette	▁fA lL
annex	▁bA lwH
annie	▁bA u
annihilated	▁fA g fx pL tj
anniversary	▁bA t Po H f Gu
annotated	▁bA fL pL tj
announce	▁fA eA H
announced	▁fA eA HL
announcement	▁fA eA H ztAL
announcements	▁fA eA H ztAL H
announcer	▁fA eA H o
announcers	▁fA eA H oS
announcing	▁fA eA H tB
annoy	▁fA E
annoyance	▁fA E tAH
annoyed	▁fA E j
annoying	▁fA E tB
annoys	▁fA E S
annu-	▁fA O
annual	▁bA R N x
annualized	▁bA R N x gS j
annually	▁bA R N xu
annuals	▁bA R N x S
annuities	▁fA O tL uS
annuitity	▁fA O tL tLu
annuity	▁fA O tLu
ano-	▁fA c
anointed	▁fA E AL tj
anomalies	▁fA a zfxu S
anomaly	▁fA a zfxu
anonymous	▁fA aA tz fH
anonymously	▁fA aA tz fH xu
anoth-	▁fA c k
another	▁fA cko
another's	▁fA cko S
ansi	▁bA H u
anson	▁bA H fA
answ-	▁bA H
answer	▁bA H o
answer's	▁bA H oS
answer-	▁bA H fG
answered	▁bA H oj
answering	▁bA H fG tB
answers	▁bA H oS
ant	▁b AL
ant-	▁b AL
antarctica	▁b AL aG wL tw f
antares	▁b AL b Gu S
ante	▁b AL u
anteks	▁b AL lwH
antenna	▁b AL lA f
antennas	▁b AL lA f S
anthem	▁bA M fz
anthologies	▁bA M a x f v uS
anthony	▁bA M fA u
anthony's	▁bA M fA uS
anthropology	▁bA M G fF a x f v u
anti	▁b AL g
anti-drunk	▁b AL gj G c B w
antiamericanism	▁b AL g fz lG tw fA tS fz
antibeach	▁b AL g hu i
antibiotics	▁b AL g h g aL twH
antiblack	▁b AL g h x b w
antibody	▁b AL g h a ju
antic-	▁b AL tH
anticapitalism	▁b AL g w b F tLfx tS fz
anticipate	▁b AL tH tF pL
anticipated	▁b AL tH tF pL tj
anticipating	▁b AL tH tF pL tB
anticipation	▁b AL tH tF pItA
anticommunist	▁b AL g w a z R fA tHL
anticompetitive	▁b AL g w fz F lL tL tP
anticrime	▁b AL g w G gz
antidevelopment	▁b AL gj tP lx fF ztAL
antidrug	▁b AL gj G c r
antidrugs	▁b AL gj G c rS
antiethical	▁b AL g l M twfx
antifreeze	▁b AL g q Gu S
antigen	▁b AL tv lA
antigovernment	▁b AL g r c Po ztAL
antigun	▁b AL g r cA
antihistamine	▁b AL g s tHL fz uA
antihistamines	▁b AL g s tHL fz uA S
antilock	▁b AL g x a w
antimetric	▁b AL gz lL G tw
antipasta	▁b AL g F a HL f
antipollution	▁b AL g F fx O ItA
antiquated	▁b AL tw Q pL tj
antique	▁b AL u w
antiques	▁b AL u wH
antisemitic	▁b AL g H fz tL tw
antiseptic	▁b AL tH lF L tw
antismog	▁b AL g H z a r
antisocial	▁b AL g HD I fx
antisupporters	▁b AL g H fF DGL oS
antitank	▁b AL gL b B w
antitax	▁b AL gL b wH
antitrade	▁b AL gL G p j
antiwar	▁b AL g Q DG
antiwomen	▁b AL g Q tz lA
antlers	▁b AL x oS
antone	▁b AL D A
antonio	▁b AL D A u D
antonio's	▁b AL D A u DS
ants	▁b AL H
antsy	▁b AL H u
anx-	▁b B w I
anxieties	▁b B S g tL uS
anxious	▁b B w I tH
any	▁lAu
any-	▁lAu
anybo-	▁lAu hc
anybod-	▁lAu hc j
anybody	▁lAu hc ju
anybody's	▁lAu h a j uS
anyhow	▁lAu s e
anymo-	▁lAu z D
anymore	▁lAu z DG
anyo-	▁lAu Q c
anyone	▁lAu Q cA
anyone's	▁lAu Q cA S
anyplace	▁lA uF x pH
anyt-	▁lAu L
anyth-	▁lAu M
anythi-	▁lAu M t
anything	▁lAuMtB
anything's	▁lAuMtB S
anytime	▁lAu L gz
anyw-	▁lAu Q
anyway	▁lAu Qp
anyways	▁lAu QpS
anywhere	▁lAu Q pG
ap	▁fF
ap-	▁fF
apar-	▁fF aG
apart	▁fF aGL
apart-	▁fF aGL
apartment	▁fF aGL ztAL
apartments	▁fF aGL ztAL H
apathetic	▁b F f M lL tw
apathy	▁b F f M u
apes	▁p F H
apiece	▁fF u H
apliplations	▁b F x tF x pItA S
apocalypse	▁fF a w fx tF H
apolitical	▁p F fx tL twfx
apollo	▁fF a x D
apologetic	▁fF a x f v lL tw
apologize	▁fF a x f v gS
apology	▁fF a x f v u
apostle	▁fF a H fx
app-	▁b F
app-	▁fF
appalachia	▁b F fx p i u f
appalachian	▁b F fx p i tA
appalachians	▁b F fx p i tA S
appalled	▁fF dx j
appalling	▁fF dx tB
appallingly	▁fF dx tB xu
appalls	▁fF dx S
apparatus	▁b F fG bL tH
apparent	▁fF pG tAL
apparently	▁fF pG tAL xu
appeal	▁fF ux
appeal-	▁fF ux
appealed	▁fF u xj
appealing	▁fF ux tB
appeals	▁fF ux S
appear	▁fF uG
appearance	▁fF uG tAH
appearances	▁fF uG tAH tS
appeared	▁fF uG j
appears	▁fF uG S
appease	▁fF uS
appetite	▁b F tL gL
appetizer	▁b F tL gS o
appetizers	▁b F tL gS oS
appetizing	▁b F tL gS tB
appl-	▁fF x
applaud	▁fF x d j
applauding	▁fF x d j tB
apple	▁b F fx
apple's	▁b F fx S
applebee's	▁b F fx h uS
apples	▁b F fx S
applesauce	▁b F fx H d H
appleseed	▁b F fx H u j
appliance	▁fF x g tAH
appliances	▁fF x g tAH tS
applic-	▁b F x tw
applicable	▁fF x tw fh fx
applicant	▁b F x tw fAL
applicants	▁b F x tw fAL H
application	▁b F x tw pItA
applications	▁b F x tw pItA S
applicator	▁b F x tw pL o
applied	▁fF x gj
applies	▁fF x gS
appliqued	▁b F x tw p j
appliques	▁b F x tw pS
apply	▁fF x g
applying	▁fF x g tB
appoint	▁fF E AL
appointed	▁fF E AL tj
appointee	▁fF E AL u
appointee's	▁fF E AL uS
appointees	▁fF E AL uS
appointing	▁fF E AL tB
appointment	▁fF E AL ztAL
appointments	▁fF E AL ztAL H
apportion	▁fF DG ItA
appraisal	▁fF G pS fx
appraisals	▁fF G pS fx S
appraise	▁fF G pS
appraised	▁fF G pS j
appraiser	▁fF G pS o
appraisers	▁fF G pS oS
apprec-	▁fF Gu I
appreciate	▁fF Gu I u pL
appreciated	▁fF Gu I u pL tj
appreciates	▁fF Gu I u pL H
appreciation	▁fF Gu I u pItA
appreciative	▁fF Gu I u fL tP
appreciator	▁fF Gu I u pL o
apprehend	▁b F G t s lAj
apprehended	▁b F Gu s lAj tj
apprehensive	▁b F G t s lA H tP
apprentice	▁fF G lAL tH
apprentices	▁fF G lAL tH tS
appro-	▁fF G O
approach	▁fF G D i
approached	▁fF G D i L
approaches	▁fF G D i tS
approaching	▁fF G D i tB
appropr-	▁fF G D F G
appropriate	▁fF G D F Gu pL
appropriated	▁fF G D F Gu pL tj
appropriately	▁fF G D F Gu tL xu
approval	▁fF G OP fx
approve	▁fF G OP
approved	▁fF G OP j
approving	▁fF G OP tB
approximate	▁fF G a wH tz pL
approximately	▁fF G a wH tz tL xu
apricot	▁b F G tw aL
april	▁p F G fx
apron	▁p F G fA
aprons	▁p F G fA S
apropos	▁b F G fF D
apso	▁b F HD
apt	▁b F L
aptitude	▁b F L tL Oj
aptitudes	▁b F L tL Oj S
aptly	▁b F L xu
aq-	▁f w Q
aqua	▁ a w Q f
aqua-	▁f w Q a
aquacise	▁ a w Q fH gS
aquarium	▁f w Q lGu fz
aquariums	▁f w Q lGu fz S
aquatics	▁f w Q aL twH
aquinas	▁f w Q g A fH
ar-	▁aG
ar-	▁b G
ar-	▁fG
ar-	▁ pG
arab	▁b G fh
arabia	▁fG p hu f
arabian	▁fG p hu tA
arabians	▁fG p hu tA S
arabic	▁b G fh tw
arabs	▁b G fh S
arafat	▁b G f q bL
aranca	▁fG bA w f
aransas	▁fG bA H tH
arapaho	▁fG b F f s D
arbitrarily	▁aG h tL G pG t xu
arbitrary	▁aG h tL G lGu
arbitrator	▁aG h tL G pL o
arbor	▁aG ho
arboretum	▁aG h f Gu L fz
arbuckle	▁aG h f w fx
arbuckles	▁aG h f w fx S
arby's	▁aG h uS
arc	▁aG w
arcade	▁aG wp j
arch	▁aG i
archaic	▁aG wp tw
archeologists	▁aG w u a x f v tHL H
archeology	▁aG w u a x f v u
archer	▁aG i o
archery	▁aG i f Gu
archie	▁aG i u
architect	▁aG w tL lwL
architects	▁aG w tL lwH
architectural	▁aG w tL lw i fG fx
architecture	▁aG w tL lw i NG
archives	▁aG w g P S
arco	▁aG w D
ardmore	▁aG j z DG
arduous	▁aG j O c H
are	▁aG
are-	▁p Gu
area	▁p Guf
area's	▁p Guf S
arear	▁p Gu G
areas	▁p Guf S
aren't	▁aG AL
arena	▁f Gu A f
arequipa	▁aG f w Q tF f
argentina	▁aG v tAL uA f
argentina's	▁aG v tAL uA f S
argentine	▁aG v tAL uA
argentinean	▁aG v tAL tA u tA
argu-	▁aG r R f
arguable	▁aG r RO fh fx
arguably	▁aG r RO fhxu
argue	▁aG r RO
argued	▁aG r RO j
argues	▁aG r RO S
arguing	▁aG r RO tB
argument	▁aG r R fz tAL
arguments	▁aG r R fz tAL H
arias	▁aG u f S
arid	▁b G tj
aries	▁p Gu S
arise	▁fG gS
arises	▁fG gS tS
arithmetic	▁b G t M z lL tw
ariz-	▁b G tS
arizona	▁b G tS D A f
arizona's	▁b G tS D A f S
ark	▁aG w
arkan-	▁aG w fA
arkansas	▁aG w fA H d
arlene	▁aG xu A
arlington	▁aG x tB L fA
arlington's	▁aG x tB L fA
arm	▁aG z
arm-	▁aG z
armadillo	▁aG z f j tx D
armadillos	▁aG z f j tx DS
armageddon	▁aG z f r lj n
armaments	▁aG z fz tAL H
armchair	▁aG z i pG
armed	▁aG z j
armenia	▁aG z uA u f
armenian	▁aG z uA u tA
armenians	▁aG z uA u tA S
armey	▁aG z u
armies	▁aG z uS
arming	▁aG z tB
armoire	▁aG z Q aG
armor	▁aG z o
arms	▁aG zS
army	▁aG z u
army's	▁aG z uS
arnett	▁aG A lL
arnold	▁aG A fx j
arnold's	▁aG A fx j S
aromas	▁fG D z f S
aromatic	▁b G fz bL tw
arose	▁fG DS
arou-	▁fG e
aroun-	▁fG eA
around	▁fGeAj
aroused	▁fG e S j
arquett	▁aG w lL
arr-	▁fG
arrange	▁fG pAv
arranged	▁fG pAv j
arrangement	▁fG pAv ztAL
arrangements	▁fG pAv ztAL H
arranger	▁fG pAv o
arranging	▁fG pAv tB
array	▁fG p
arrest	▁fG lHL
arrested	▁fG lHL tj
arresting	▁fG lHL tB
arrests	▁fG lHL H
arrival	▁fG g P fx
arrivals	▁fG g P fx S
arrive	▁fG g P
arrived	▁fG g P j
arrives	▁fG g P S
arriving	▁fG g P tB
arro-	▁b G f
arrogance	▁b G f r fA H
arrogant	▁b G f r fAL
arrow	▁b G D
arrowheads	▁b G D s lj S
arrows	▁b G DS
arsenal	▁aG H tA fx
arsenals	▁aG H tA fx S
arsenic	▁aG H tA tw
arsenio	▁aG H lA u D
arson	▁aG H tA
art	▁aG L
art's	▁aG L H
art-	▁aG L
arteries	▁aG L f Gu S
arteriosclerosis	▁aG L u Gu D H w x fG D H tH
artery	▁aG L f Gu
arthritic	▁aG M G tL tw
arthritis	▁aG M G gL tH
arthur	▁aG M o
arthur's	▁aG M oS
arti-	▁aG L t
artichoke	▁aG L t i D w
artichokes	▁aG L t i D wH
article	▁aG L twfx
articles	▁aG L twfx S
artif-	▁aG L tq
artifact	▁aG L tq bwL
artifacts	▁aG L tq b wH
artificial	▁aG L tq tI fx
artificially	▁aG L tq tI fxu
artist	▁aG L tHL
artistic	▁aG L tHL tw
artists	▁aG L tHL H
arts	▁aG L H
artsy	▁aG L H u
artsy-craftsy	▁aG L H u w G b qL H u
artwork	▁aG L Q o w
aruba	▁fG O h f
as	▁bS
as-	▁b H
asbestos	▁b H h lHL tH
ascended	▁f H lAj tj
ascertain	▁b H oL pA
asceticism	▁f H lL tH tS fz
ascribe	▁f H w G g h
ash	▁b I
ashamed	▁f I pz j
ashes	▁b I tS
asheville	▁b I P tx
ashley	▁b I xu
ashley'll	▁b I xu fx
ashtray	▁b I L G p
ashville	▁b I P tx
asi-	▁f H g
asia	▁p T f
asian	▁p T tA
asians	▁p T tAH
asics	▁p I twH
aside	▁f H gj
asides	▁f H gj S
asimov	▁bS tz d P
asimov's	▁bS tz d P S
asinine	▁b H tA g A
ask	▁b H w
ask-	▁b H w
asked	▁b H wL
asked	▁b HL
asking	▁b H wtB
asks	▁b H wH
asleep	▁f H xu F
asparagus	▁f H F b G f r fH
aspect	▁b H F lwL
aspects	▁b H F lwH
aspen	▁b H FfA
asphalt	▁b H q dx L
asphyxiate	▁b H q twH u pL
aspiration	▁b H F t G pItA
aspirations	▁b H F t G pItA S
aspirin	▁b H F fG tA
ass	▁b H
ass-	▁b H
ass-	▁f H
assailant	▁f H p x fAL
assassinate	▁f H bH tA pL
assassinated	▁f H bH tA pL tj
assassination	▁f H bH tA pItA
assassinations	▁f H bH tA pItA S
assault	▁f H dx L
assaulted	▁f H dx L tj
assaulting	▁f H dx L tB
assaults	▁f H dx L H
assed	▁b HL
assemble	▁f H lz hfx
assembled	▁f H lz hfx j
assembling	▁f H lz h x tB
assembly	▁f H lz h xu
assemblyman	▁f H lz h xu z fA
assertive	▁f H oL tP
asses	▁b H tS
assess	▁f H lH
assessed	▁f H lHL
assesses	▁f H lH tS
assessing	▁f H lH tB
assessment	▁f H lH ztAL
asset	▁b H lL
assets	▁b H lL H
assholes	▁b H s D x S
assign	▁f H g A
assigned	▁f H gAj
assigning	▁f H g A tB
assignment	▁f H g A ztAL
assignments	▁f H g A ztAL H
assimilated	▁f H tz tx pL tj
assis-	▁f H tH
assisi	▁f H u H u
assist	▁f H tHL
assistance	▁f H tHL tAH
assistant	▁f H tHL tAL
assistants	▁f H tHL tAL H
assistantship	▁f H tHL tAL I tF
assisted	▁f H tHL tj
assisting	▁f H tHL tB
assists	▁f H tHL H
associate	▁f HD H u pL
associated	▁f HD H u pL f j
associates	▁f HD H u pL H
associating	▁f HD H u pL tB
association	▁f HD H u pItA
associations	▁f HD H u pItA S
assorted	▁f H DGL tj
assortment	▁f H DGL ztAL
assume	▁f H O z
assumed	▁f H O z j
assumes	▁f H O zS
assuming	▁f H O z tB
assumingly	▁f H O z tB x t
assump-	▁f H cz F
assumption	▁f H cz F ItA
assumptions	▁f H cz F ItA S
assure	▁f I NG
assured	▁f I NG j
assuredly	▁f I NG tj xu
assures	▁f I NG S
assuring	▁f I NG tB
astaire	▁f HL pG
asthma	▁bS z f
asthmatic	▁bS z bL tw
astonia	▁f HL D A u f
astonished	▁f HL aA tI L
astonishes	▁f HL aA tI tS
astonishing	▁f HL aA tI tB
astound	▁f HL eAj
astounded	▁f HL eAj tj
astounding	▁f HL eAj tB
astounds	▁f HL eAj S
astray	▁f HL G p
astro	▁b HL G D
astrodome	▁b HL G f j D z
astronaut	▁b HL G fA dL
astronauts	▁b HL G fA dL H
astronomers	▁f HL G aA fz oS
astronomical	▁b HL G fA a z twfx
astronomy	▁f HL G aA fz u
astros	▁b HL G DS
astute	▁f HL O L
asylum	▁f H g xfz
at	▁bL
at&t	▁ pL u bAj L u
at&t's	▁ pL u bAj L uS
at-	▁bL
atari	▁f L aG u
atchafalaya	▁b i f q fx g f
atchafalaya's	▁b i f q fx g f S
ate	▁ pL
ath-	▁b M
ath-	▁b M xu L H
athlete	▁b M xu L
athletes	▁b M xu L H
athletic	▁b M x lL tw
athletics	▁b M x lL twH
atlanta	▁bL x b AL f
atlanta's	▁bL x b AL f S
atlantic	▁bL x b AL tw
atmosphere	▁bL z fH q uG
atmosphere's	▁bL z fH q uG S
atmospheres	▁bL z fH q uG S
atmospherewise	▁bL z fH q uG Q gS
atmospheric	▁bL z fH q uG tw
atomic	▁f L a z tw
atone	▁f L D A
atrocious	▁f L G D I tH
atrocities	▁f L G a H tL uS
atrocity	▁f L G a H tLu
att-	▁bL
att-	▁f L
attach	▁f L b i
attache	▁bL b I p
attached	▁f L b i L
attaches	▁bL f I pS
attaching	▁f L b i tB
attachment	▁f L b i ztAL
attachments	▁f L b i ztAL H
attack	▁f L b w
attacked	▁f L bwL
attacking	▁f L b wtB
attacks	▁f L b wH
attain	▁f L pA
attained	▁f L p Aj
attaining	▁f L pA tB
atteck	▁f L lw
attempt	▁f L l zF L
attempted	▁f L l zF L tj
attempting	▁f L l zF L tB
attempts	▁f L l zF L H
attenborough	▁bL n ho G D
attence	▁f L lA H
attend	▁f L lAj
attendance	▁f L lAj tAH
attendant	▁f L lAj tAL
attended	▁f L lAj tj
attending	▁f L lAj tB
attends	▁f L lAj S
attention	▁f L lA ItA
attention's	▁f L lA ItA S
attentions	▁f L lA ItA S
attentive	▁f L lAL tP
attest	▁f L lHL
attic	▁bL tw
attica	▁bL tw f
attire	▁f L gG
attitu-	▁bL tL O
attitude	▁bL tL Oj
attitude's	▁bL tL Oj S
attitudes	▁bL tL Oj S
attitudes'll	▁bL tL Oj S fx
attleboro	▁bL m ho G D
attorney	▁f L oA u
attorney	▁tL oA u
attorney's	▁f L oA uS
attorneys	▁f L oA uS
attrac-	▁f L G b w
attract	▁f L G bwL
attracted	▁f L G bwL tj
attraction	▁f L G b w ItA
attractions	▁f L G b w ItA S
attractive	▁f L G bwL tP
attractiveness	▁f L G bwL tP A tH
attracts	▁f L G bwL H
attribute	▁bL G fh RO L
attributed	▁f L G t h R fL tj
attributes	▁bL G t h RO L H
attrition	▁f L G t ItA
attuned	▁f L O Aj
au	▁D
au-	▁d
au-	▁d r
aubrey	▁d h Gu
auburn	▁d h oA
auction	▁d w ItA
auctioned	▁d w i t Aj
auctioning	▁d w i tA tB
auctions	▁d w i tA S
audelia	▁d j l xu f
audi	▁ e ju
audi's	▁ e j uS
audi-	▁d ju
audible	▁d j fh fx
audience	▁d ju tAH
audio	▁d ju D
audiology	▁d ju a x f v u
audis	▁ e j uS
audit	▁d j tL
audited	▁d j tL tj
auditing	▁d j tL tB
audition	▁d j t ItA
auditions	▁d j t ItA S
auditor	▁d j tL o
auditorium	▁d j tL DG u fz
auditors	▁d j tL oS
auditory	▁d j tL DG u
audits	▁d j tLH
audrey	▁d j Gu
auel	▁ e x
augmon	▁d r z fA
augmon's	▁d r z fA S
august	▁d r cHL
augusta	▁d r cHL f
augustine	▁d r cHL tA
aunt	▁b AL
aunt's	▁b AL H
aunts	▁b AL H
auspices	▁d H F tH tS
austen	▁d HL tA
austin	▁d HL tA
austin's	▁d HL tA S
australia	▁d HL G p x R f
australian	▁d HL G p x R tA
australians	▁d HL G p x R tA S
austria	▁d HL Guf
austrian	▁d HL Gu tA
aut-	▁ dL
authentic	▁d M lAL tw
authenticity	▁d M lAL tH tLu
author	▁d M o
author's	▁d M oS
authoritarian	▁d M DG tL p Gu tA
authoritative	▁d M DG tL pL tP
authorities	▁d M DG tL uS
authority	▁d M DG tLu
authorization	▁d M fG tS pItA
authorize	▁d M fG gS
authorized	▁d M fG gS j
authors	▁d M oS
autistic	▁ dL tHL tw
auto	▁ dL D
auto-	▁ dL f
autobahn	▁ dL D h aA
autobiographies	▁ dL D h g a r G f q uS
autobiography	▁ dL D h g a r G f q u
autocad	▁ dL D w b j
autocrat	▁ dL f w G bL
autograph	▁ dL f r G b q
autographs	▁ dL f r G b q H
automa-	▁ dL fz b
automakers	▁ dL D z p w oS
automat-	▁ dL fz bL
automated	▁ dL fz pL tj
automatic	▁ dL fz bL tw
automatically	▁ dL fz bL tw xu
automatics	▁ dL fz bL twH
automation	▁ dL fz pItA
autometer	▁ dL D z u L o
automo-	▁ dL fz D
automobile	▁ dL fz fh ux
automobiles	▁ dL fz fh ux S
automotive	▁ dL fz DL tP
automotives	▁ dL fz DL tP S
autonomists	▁ dL aA fz tHL H
autonomy	▁ dL aA fz u
autopilot	▁ dL D F g x fL
autopilot	▁ dL D F g x tL
autry	▁ dL Gu
autumn	▁ dL fz
auxiliary	▁d rS tx f Gu
av-	▁f P
avail-	▁f P p x
availability	▁f P p x fh tx tLu
available	▁f P p x fh fx
avalanche	▁b P fx bA i
avalon	▁b P fx aA
avant-garde	▁f P a AL r aGj
avenue	▁b P fA O
avenues	▁b P fA O S
average	▁b P G tv
averaged	▁b P G tv j
averages	▁b P G tv tS
averaging	▁b P G tv tB
aversion	▁f Po T tA
avery	▁b P f Gu
avia	▁f P u f
aviaries	▁p P u lGu S
aviary	▁p P u lGu
aviation	▁p P u pItA
aviators	▁p P u pL oS
avid	▁b P tj
avionics	▁p P u aA twH
avis	▁p P tH
avocado	▁ a P f w a j D
avocados	▁ a P f w a j DS
avocation	▁b P f wp ItA
avoid	▁f P E j
avoidable	▁f P E j fh fx
avoided	▁f P E j tj
avoiding	▁f P E j tB
avoids	▁f P E j S
avon	▁b P aA
aw-	▁d
aw-	▁f Q
awa-	▁f Qp
awake	▁f Qp w
awakened	▁f Qp w fAj
awakening	▁f Qp w fA tB
awakenings	▁f Qp w fA tB S
award	▁f Q DG j
awarded	▁f Q DG j tj
awarding	▁f Q DG j tB
awards	▁f Q DG j S
aware	▁f Q pG
awareness	▁f Q pG A tH
away	▁f Qp
awe	▁d
awe-	▁f Q
awesome	▁d H fz
awf-	▁dq
awful	▁dq fx
awfully	▁dq fxu
awfully	▁dq xu
awfulness	▁dq fx A tH
awhi-	▁f Q g
